"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",34.4774335576411,6.21014609380815,41,47,68,61,33,77,87
"2",41.1530780304358,5.18865716350023,59,45,67,57,40,78,84
"3",33.233524412117,6.96249867171125,55,44,60,54,36,83,90
"4",37.210428299282,5.13871193922853,43,40,71,46,32,75,92
"5",42.1343226181071,3.42137264562781,38,42,65,46,37,84,90
"6",35.191276055636,4.20297872883943,46,48,59,51,32,72,84
"7",35.5835008444992,6.2243538823335,43,46,69,63,36,77,93
"8",35.0938860624272,4.63466643999685,34,38,55,58,38,83,90
"9",36.1426790954015,4.83740971974615,42,35,57,46,37,86,92
"10",37.4143246744118,5.56047917937775,45,42,67,67,36,74,82
"11",40.6828910315604,4.13927437079029,41,44,69,56,36,76,89
"12",34.5946616360415,6.23863449181929,44,52,54,58,40,86,89
"13",33.7588221999178,5.76743574915881,49,46,67,50,37,82,84
"14",36.5273969316794,3.91259089414585,41,41,66,68,26,73,85
"15",33.7847198803663,5.06750377267278,44,52,66,63,22,79,91
"16",36.5830415783505,6.60514056502043,48,46,65,47,46,82,94
"17",35.2080607158612,6.2322294300139,44,48,65,58,36,75,90
"18",30.4480997197252,4.62088620528888,39,44,61,57,40,83,87
"19",37.7224517678101,3.65013341626062,49,44,65,55,38,76,89
"20",36.2219337797972,5.36491809963744,49,54,62,63,34,72,92
"21",39.7015358359998,4.63640507540017,49,48,73,55,29,84,89
"22",39.8256081816032,6.37465332460603,48,54,64,61,34,80,88
"23",41.4038857102591,5.29189573726271,51,52,68,65,30,71,88
"24",39.1202832686737,5.71059171027219,47,53,63,53,37,78,87
"25",39.4570267907865,4.06223908045783,52,40,58,61,39,74,91
"26",36.1195544538926,3.88593687257184,50,45,66,62,31,82,89
"27",41.2557672174578,5.63437195520193,50,55,63,63,36,87,88
"28",41.4963214822195,4.7688070979293,50,44,62,59,21,71,84
"29",35.028753716543,3.63180579645415,43,51,60,49,44,81,90
"30",34.441613679994,4.24509255379931,39,35,68,61,29,76,91
"31",37.9477451150844,3.87440335145757,43,51,71,62,40,81,87
"32",40.3290825029766,4.78064075272925,50,58,67,56,45,79,95
"33",43.6463817150342,4.86569204830424,48,49,63,60,34,83,89
"34",40.651310916872,4.18197938896081,44,46,60,52,30,74,92
"35",41.4376653599148,5.47233415666736,56,49,74,57,38,76,86
"36",39.8547214972536,4.1307438700279,48,51,60,62,36,82,86
"37",33.9714020621123,3.66771165853061,43,56,56,47,46,78,90
"38",30.9985817840861,5.07056286970449,33,43,64,64,26,78,88
"39",31.7134423826438,5.46409318636157,40,46,60,38,45,90,89
"40",36.5721756221348,5.28915849923549,31,40,61,56,29,79,85
"41",41.6501811084494,2.11505891709056,49,62,62,61,37,78,86
"42",34.5927304548557,2.66530822476124,35,45,56,58,33,81,89
"43",36.776263240352,3.26910895332322,48,45,61,54,31,78,88
"44",42.6870038641674,5.82500958638187,61,54,57,56,33,81,87
"45",35.6302931772387,3.95496044888289,49,51,67,57,39,78,93
"46",38.6866700879291,4.1228066260817,41,43,66,52,39,86,88
"47",34.3389744654657,4.5996101578484,44,41,63,51,33,74,88
"48",35.6192662714145,3.73181102777048,32,37,67,54,37,74,91
"49",34.8270145417976,5.13858639059962,42,45,63,53,26,76,84
"50",36.7923665324977,6.18357160432819,46,54,66,57,45,81,91
"51",41.389745688846,2.88944492701254,51,43,62,51,32,76,90
"52",37.5631782922994,5.26067610953686,46,45,59,50,32,73,87
"53",40.0660685839925,5.94556682569367,53,47,66,60,35,85,93
"54",35.2244955011469,4.38003938021426,47,49,73,63,34,72,87
"55",36.6633980348916,4.99089926050963,49,47,67,63,39,80,83
"56",34.2251407424029,5.52022542274955,47,41,73,60,31,74,90
"57",39.2599143948866,6.80625870789078,49,41,65,55,41,84,88
"58",36.6621727893909,3.08748010207985,40,51,58,55,32,82,91
"59",36.8077272153406,5.19928207507225,41,41,64,58,28,79,87
"60",37.6998258806373,5.27648495303824,43,64,70,49,39,78,87
"61",33.5902515905545,4.16372357264167,45,58,74,54,45,80,88
"62",39.5644912693854,7.02959741488453,48,53,61,54,36,74,89
"63",35.2648887431144,5.42910598656122,43,54,63,60,30,77,88
"64",38.4890846170905,6.06394786606598,51,39,58,57,31,69,86
