"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",37.6502645885907,2.16041694204005,45,37,65,56,40,81,91
"2",35.3725222832097,6.51146905596993,37,43,68,57,22,75,90
"3",39.673433935217,6.44235456512301,59,58,70,53,37,86,90
"4",38.7879417315624,5.50536928364619,49,47,75,57,33,75,87
"5",41.9068540033389,4.24270675058911,43,41,64,51,34,71,85
"6",39.0678263257592,5.24923808470746,48,47,63,62,36,71,88
"7",33.1562601096965,4.68314740439045,40,44,56,52,31,73,93
"8",36.3605664421649,5.10292134474802,48,43,67,56,32,77,89
"9",42.6896196157278,4.7883913987537,47,55,67,60,36,78,86
"10",42.3305896410482,5.27054308044968,47,49,65,56,39,82,86
"11",38.6998134945409,4.6929997450554,46,56,66,52,38,81,91
"12",37.0471583620137,5.88986871777036,45,51,56,59,38,74,90
"13",38.1491720155514,5.38804347840685,44,47,58,53,41,74,85
"14",36.8645886522601,2.72561183758519,38,46,63,57,31,81,88
"15",37.103055722191,4.4500483120726,43,52,65,58,43,80,91
"16",37.5070803226549,5.33038001858613,45,46,54,47,35,75,96
"17",40.495080517083,4.40185536632663,46,48,61,57,32,76,84
"18",36.8673880082437,3.73795574463192,41,49,67,62,42,76,87
"19",36.6988946722423,5.76329840639364,52,49,71,63,34,71,91
"20",36.1496662933792,5.84096463896819,50,52,72,58,33,77,89
"21",41.6224449426129,5.1582250265249,50,52,75,54,42,79,85
"22",37.4955070591298,6.04649811573088,52,48,57,54,35,82,87
"23",40.9228670807637,4.34714736090808,46,39,64,55,34,75,90
"24",40.8647706337647,4.03928004170835,42,50,68,57,28,64,88
"25",38.7786908219441,4.79885158895033,50,46,60,55,42,83,91
"26",36.1511689470332,5.6935848469248,47,51,78,67,33,72,89
"27",40.7676520767995,4.00197313941056,47,53,69,58,39,79,86
"28",39.7295174536859,4.00036318399409,49,54,67,61,33,84,86
"29",34.215915684777,4.63668513664257,55,53,58,49,39,75,85
"30",40.7205425140094,6.05766650691436,38,50,63,55,30,73,89
"31",37.4603925386639,6.07895817024186,55,50,62,63,36,75,92
"32",40.1557977369688,6.23799690475389,48,45,70,52,41,89,97
"33",34.7373663615474,5.85411241420844,45,50,64,48,39,85,91
"34",32.5534326410463,4.18646111362653,42,43,56,61,29,78,84
"35",39.5833956174932,4.63216493282538,48,53,72,61,41,80,88
"36",35.786440507729,6.11768370661503,53,46,65,52,37,83,88
"37",36.3177837481792,5.1137265772046,37,43,61,52,36,76,91
"38",39.8022885125875,4.55545873638718,40,47,71,61,32,77,90
"39",35.6023123606271,3.55428014068928,35,52,67,59,37,83,88
"40",35.0873695042893,4.61555579973827,50,42,63,52,34,82,86
"41",41.0311258785981,5.5931282044837,50,55,66,60,51,90,92
"42",37.5446061537938,5.24505147235629,42,46,68,58,30,81,88
"43",40.8775370092514,3.25419969440394,38,46,64,56,37,82,89
"44",31.9358542724056,5.06242384869271,40,31,65,61,30,84,94
"45",34.5370192671071,3.91396729075564,37,46,71,57,38,76,86
"46",34.4135615677007,4.89247636193973,38,42,59,55,39,72,81
"47",37.2965310674139,5.45119457007065,45,49,69,61,35,76,91
"48",35.8730345674049,6.09436959201443,50,49,63,62,30,76,90
"49",39.1717124658528,5.90595913811373,49,42,64,67,24,69,86
"50",31.6078539442824,4.00248894023212,48,40,58,51,33,78,84
"51",35.0087705752713,4.28416076411588,52,51,62,57,35,73,88
"52",35.1288205338125,5.42260087455558,49,51,72,56,45,82,95
"53",36.7611027044855,5.43293336850871,41,40,64,52,38,76,89
"54",38.3068742884882,5.08453164464411,47,40,61,64,28,73,85
"55",42.9127029091727,5.55209610905661,50,52,76,52,48,79,92
"56",35.2097239824726,4.46223452395723,45,45,73,65,37,85,92
"57",35.3424783651731,5.12574656103997,47,38,58,52,32,76,89
"58",39.0878999011033,6.00388732222012,35,45,65,54,39,72,88
"59",36.533008106176,6.071837242262,55,61,72,66,34,77,90
"60",41.0466945855932,4.54964743162541,59,42,63,62,28,83,93
"61",33.7944307885397,5.95844159402796,38,47,61,54,25,69,90
"62",40.1933522404124,5.90432471766416,49,52,64,55,39,74,87
"63",33.0618347063876,3.7686692343889,41,40,60,53,26,65,87
"64",43.1910841067557,4.70954360475745,45,60,63,56,47,80,89
"65",37.394149031988,3.34789107890258,47,50,63,59,48,80,84
"66",36.3049346532552,5.03740976963886,42,43,66,54,47,72,83
"67",35.8079334310796,2.9573196028791,39,42,64,67,37,77,91
"68",39.6682962468441,5.11126949368154,49,47,69,52,34,82,86
"69",38.5785071184902,5.3112036659183,49,50,66,54,45,79,86
"70",36.4861802711121,4.36109557457153,43,46,63,60,47,77,91
"71",37.4760306923298,5.9327663218121,45,50,60,54,41,89,92
"72",35.5430048014827,4.72732185135528,38,46,54,63,28,81,90
"73",34.1232817750024,6.24183992656981,46,58,66,59,38,75,85
"74",37.5415518763212,3.93931403428143,53,50,65,60,35,75,88
"75",39.1652028484568,6.88811636447854,55,55,70,55,29,82,84
"76",35.8913785656376,3.83190814020222,50,46,60,50,34,79,91
"77",37.712614937619,5.41900444474045,45,37,67,51,29,78,88
"78",35.0022336627553,3.34751834892272,35,38,71,47,31,76,84
"79",34.6095774704717,5.1769054957189,48,42,64,48,34,74,87
"80",36.8449092060659,4.8560765363799,43,42,66,58,30,71,83
"81",40.8607849998925,7.36270675520915,50,42,63,56,33,70,89
"82",36.3575510117848,6.21696965522393,38,52,68,53,32,73,85
"83",35.2757636070958,5.4032862291979,48,50,61,51,39,81,88
"84",32.587818867123,5.6376272222656,43,47,57,62,39,80,89
"85",33.9017847015325,4.11091011762953,42,43,60,59,37,73,85
"86",33.080425434281,3.6847916709688,41,42,56,52,36,81,86
"87",34.4852427780426,5.17813357407523,51,42,67,55,36,75,86
"88",33.6080389569257,3.57619279811351,39,49,61,52,35,79,87
"89",38.106244525849,3.49631015007212,48,46,70,58,35,77,83
"90",36.3945909390074,3.92460145463519,49,36,66,49,34,78,88
"91",33.1670202916805,5.14179102523331,35,43,59,57,33,72,87
"92",34.6059625579943,5.26219484699985,35,42,68,49,30,75,90
