"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",37.0562385128255,6.50254463898139,38,44,52,60,40,79,90
"2",36.4472423737928,5.59040946714664,43,41,66,61,23,69,82
"3",32.8860083502325,4.36931454861655,46,56,62,56,38,86,88
"4",35.2024968526488,5.79234953729427,41,53,72,54,33,84,89
"5",37.8836353797025,5.12538457012308,42,49,65,49,31,80,87
"6",38.1693829021005,5.32275497124803,49,50,64,60,39,86,98
"7",33.3757714737115,4.55441679054741,42,40,56,49,43,77,88
"8",35.9089719475874,5.76684393446138,56,49,62,56,37,78,87
"9",32.1199819548907,3.59649697817228,40,37,60,45,34,73,85
"10",36.230564817628,3.82395322038859,44,47,66,62,40,76,93
"11",40.3053385092614,5.5115964691848,48,47,60,55,36,77,90
"12",39.267344524082,6.3167652637783,48,50,56,58,34,79,92
"13",36.2852993319438,7.39291294709557,48,56,62,66,41,88,93
"14",39.9623341102402,4.9322305915076,50,46,62,58,36,79,85
"15",39.2241703851515,4.79621493354728,43,48,65,53,38,77,91
"16",37.2680417994875,6.99643445216969,45,45,69,46,38,82,92
"17",34.1351684315429,6.54321779434101,49,51,65,60,37,73,87
"18",36.4145488459983,3.77166237373818,47,48,55,47,36,77,93
"19",39.7765637862822,7.64448799222478,62,58,69,56,41,81,90
"20",38.4489355745098,5.75701370827437,49,52,75,53,44,73,91
"21",35.2110680898394,6.05534519215293,45,44,66,52,30,73,87
"22",30.4441394854914,5.95794489530581,52,41,63,61,30,86,87
"23",34.9754021863747,5.83387905764265,43,50,67,55,39,76,87
"24",30.6428164242695,4.83072442998136,50,51,66,61,36,77,84
"25",33.2044059354073,4.59556635692156,46,50,58,54,37,77,90
"26",35.8790153345359,5.29560157370291,42,43,68,55,22,67,91
"27",34.9373337088362,4.76812549276514,39,44,60,55,29,72,88
"28",34.3835235198469,4.55192176837361,42,48,70,56,45,73,90
"29",36.6947169813255,5.02231079657239,44,44,59,65,37,77,84
"30",36.2386584096926,5.04446729723613,57,48,66,57,26,73,91
"31",31.4387786365626,5.48072116529064,48,41,64,56,37,80,89
"32",36.7661618017739,5.63561985516957,43,48,68,52,45,74,84
"33",39.9056990215736,2.9992576069235,42,46,61,53,35,82,85
"34",37.5547778799709,4.30934449623704,47,51,61,58,35,84,86
"35",32.8601692649872,4.86935481069348,46,45,66,61,38,78,85
"36",32.6934569129189,4.65574821697636,45,54,72,65,35,69,93
"37",38.0862616858198,4.94758717603487,40,46,61,51,37,82,86
"38",31.7227397387209,5.09612392054912,29,43,55,68,26,69,84
"39",36.026367971283,5.26640705323213,47,49,63,52,41,86,90
"40",35.045311034366,5.55479347527874,48,53,67,50,33,80,83
"41",40.2596541983215,6.23544587854851,55,50,73,51,34,75,86
"42",34.7123653599061,5.28513338130689,46,46,70,53,41,82,88
"43",34.5140123949967,4.54120707222712,47,37,68,56,35,82,88
"44",39.5034217092654,5.62347802186237,53,50,63,61,44,83,83
"45",34.0970440397203,4.27600490835962,48,43,64,58,22,69,88
"46",36.9135539935724,6.61941870348572,46,48,61,51,38,78,84
"47",37.6975754577262,4.38332658978306,40,38,68,60,29,73,83
"48",36.0963739554875,5.38454105744688,47,48,64,52,31,77,85
"49",34.967156250552,7.11452131280045,47,53,65,66,35,77,88
"50",38.9656829087057,3.97143263371212,46,50,67,56,37,80,92
"51",35.7980873589048,4.11321203433214,43,54,76,59,39,77,90
"52",35.9963303047799,6.27114600133103,50,49,57,54,32,83,87
"53",41.1038618595759,3.39491455872016,48,41,63,52,24,75,88
"54",43.4133013109504,6.12227338293318,44,55,64,62,30,81,85
"55",38.5174577935871,7.15843864176903,38,43,69,54,37,82,96
"56",39.3590271527175,5.42824661302264,43,54,66,58,33,71,91
"57",34.2933641674641,6.2011786904597,39,49,60,59,39,74,91
"58",38.598690976985,6.03169011615184,43,50,70,58,31,80,93
"59",35.0623172393524,5.65387425271026,42,54,67,55,37,80,90
"60",37.8729624652893,7.01208177317955,52,53,72,54,40,81,87
"61",33.2872165933683,6.09462984183357,35,39,66,47,39,76,88
"62",35.6314711746466,5.72640935408199,43,44,63,56,32,81,88
"63",34.5090320358258,3.60034286341681,43,45,60,59,42,87,89
"64",38.0203469310228,3.7122048367092,43,46,58,56,35,75,88
"65",40.1991291870465,4.03158452247404,39,41,58,50,36,80,93
"66",40.6483775142394,3.2633142422816,38,45,58,50,35,77,86
"67",39.2070719728992,5.83169735807354,52,43,63,57,35,85,88
"68",35.5563741480533,4.24104689143494,50,57,71,56,39,76,90
"69",38.6882342885743,7.15507700106696,44,42,66,60,39,80,89
"70",33.2610408643324,4.57674111976498,37,44,65,51,40,84,88
"71",38.142766637877,4.9943500633247,46,47,61,56,40,72,80
"72",32.7087182416099,5.40036172861152,46,49,59,48,31,73,90
