"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",43.8617414840216,5.52526154979865,49,47,65,67,38,72,88
"2",33.4096849533329,4.72427268924243,45,58,76,52,29,79,92
"3",34.9171224686936,5.05470976530285,54,56,65,61,37,83,93
"4",35.7631211465896,4.61175039426498,46,45,70,53,38,81,93
"5",34.0879799766415,4.58297695397208,39,54,70,48,45,77,90
"6",34.1581601643157,3.83582483484503,48,50,66,59,43,86,87
"7",39.2444180208717,6.73786413507696,46,48,63,60,40,78,85
"8",36.6491343223385,4.74592264981048,48,45,61,55,34,75,88
"9",37.4579728788467,4.02628137675152,44,45,62,58,30,71,85
"10",43.5699343219881,6.11119894662547,47,52,67,63,39,74,84
"11",38.0709586909871,5.97349905642351,47,56,68,53,41,80,92
"12",45.1502553493922,6.25712867584738,56,49,70,63,35,82,86
"13",43.8443557779687,6.77628758324976,43,49,63,62,36,70,84
"14",37.9720616204155,2.31683147774981,50,52,65,67,31,76,89
"15",42.6882012004298,5.65986307514568,46,47,61,58,40,81,91
"16",38.4030415339651,6.17944966685031,52,50,65,62,45,79,93
"17",34.3185978307437,5.39351377646214,44,51,70,60,33,78,95
"18",36.0780151013884,3.81014133291967,37,45,59,61,44,76,87
"19",36.9855327331973,4.64347263471135,38,57,69,53,34,84,94
"20",39.9644924484998,3.53449195605561,51,52,66,66,25,77,87
"21",39.5192510788722,3.90926984790444,50,53,74,56,30,84,86
"22",39.1160254927165,4.34274578436827,51,46,55,61,36,82,88
"23",40.9178941624351,7.26294100394207,49,43,68,58,35,75,86
"24",32.8360113502214,5.08769002947214,46,61,66,60,37,78,89
"25",40.8187505927657,5.76752300161673,49,43,52,55,30,85,87
"26",37.5525783137073,4.3868425360355,42,44,69,55,26,73,85
"27",39.2568396872201,5.15250296991098,42,50,63,54,40,75,90
"28",38.7752351573882,4.40829255322869,33,42,66,52,38,71,82
"29",34.0508422126869,4.03929503289395,42,48,67,54,33,78,86
"30",36.171808134664,4.41504200508281,54,50,71,62,26,69,89
"31",34.3874469322942,5.65667288934098,50,58,67,45,40,81,96
"32",39.1561316592527,4.70975041200631,42,46,62,53,40,76,82
"33",37.331958633308,5.90409772892849,51,42,66,55,37,75,87
"34",36.7645996960849,5.19902022370265,42,44,55,53,37,84,88
"35",35.738528621974,4.94842519312246,54,42,58,53,36,83,86
"36",35.3136223711442,4.0917948205139,39,41,58,57,29,77,90
"37",39.9925403342659,3.85752166058685,53,53,62,62,41,82,86
"38",33.6846098235602,5.99032493576475,44,40,70,50,35,75,86
"39",36.5731365076762,5.11227327771342,45,57,64,57,43,77,87
"40",37.9449847146637,6.14963167416121,49,55,67,58,37,77,88
"41",40.655651603522,4.08950467610054,37,43,65,60,36,80,87
"42",34.9020487639435,3.89618028348436,49,53,62,55,42,82,91
"43",36.1437017454138,3.36513269367109,45,54,67,61,40,78,91
"44",33.0653419821718,3.38361750579482,43,40,63,53,29,82,96
"45",35.8269627056522,4.16326299251332,40,43,56,52,24,71,85
"46",35.7954201607151,6.0929991155745,45,49,53,57,39,77,91
"47",41.0515527427689,6.23509818020155,54,46,65,68,33,81,82
"48",38.7735700812677,5.17206660164655,50,49,66,62,34,76,91
"49",37.3015763668857,5.120493170239,42,47,68,52,27,75,90
"50",39.7932159865603,5.55753267033483,47,51,69,67,36,83,84
"51",36.2117729543004,5.49138316203117,42,51,61,56,29,76,89
"52",36.976995685862,4.93098737562343,44,47,63,50,35,77,93
"53",38.1014590196369,3.64920368508613,47,44,66,54,31,79,88
"54",42.1214876354128,5.79935757118366,50,42,62,65,25,73,91
"55",39.1712207875851,4.67990592297658,47,45,64,56,30,76,86
"56",38.4431081461237,4.64304881062201,50,44,72,62,34,81,92
"57",32.2963952673242,4.48927206215294,37,41,61,52,34,77,89
"58",37.9547508504425,3.12111991755019,43,58,69,54,39,77,88
"59",37.4979743520321,4.04815491012107,36,45,68,59,27,67,87
"60",34.3002771111155,7.27315661493149,45,53,66,62,32,70,90
"61",37.2291144215817,5.20268762999719,40,41,66,54,37,82,85
"62",37.4774658347882,2.69144530212937,41,44,60,53,32,79,81
"63",38.6310225541291,4.94336433666168,47,56,68,55,38,83,92
"64",39.1144220578391,5.06284384204554,47,43,57,58,38,81,93
"65",37.9569074276713,5.71022813739146,48,48,59,57,36,78,83
"66",40.3277493669132,4.40769260268851,48,58,63,63,38,72,90
"67",39.3074625839713,5.29852463030341,46,49,61,59,36,77,87
"68",40.4604210243368,5.64253562671185,51,46,67,60,34,84,86
"69",40.7820505080428,7.11279509557413,43,42,63,53,29,76,87
"70",39.101870519717,5.91777963316551,47,46,62,64,30,79,89
"71",38.2978814825379,3.42714524712467,47,50,63,59,38,68,87
"72",34.2321948452292,5.99264173141652,39,46,54,50,27,77,88
"73",35.1532473801072,5.47952087128483,47,43,66,57,30,79,85
"74",34.4000209352459,4.70341944458398,39,52,65,63,39,80,87
"75",32.0814487384566,5.81584023471922,49,45,73,57,33,77,83
"76",33.0224822684698,4.0002283869419,34,48,62,59,37,82,90
"77",34.3328898170861,5.5492102943828,48,47,67,61,36,84,91
"78",35.3271930090937,5.27977120445527,45,47,62,53,30,78,89
"79",36.812793073485,5.91663588975498,40,44,58,52,43,85,91
"80",44.2680789314783,3.26874274221642,47,55,63,55,45,79,89
"81",38.0277560504419,3.52041893318071,44,45,63,54,45,80,86
"82",37.0127447087564,7.22981102738482,56,49,62,51,34,71,89
"83",37.0876595260049,5.3864989464479,47,47,60,61,39,79,89
"84",35.8197297126361,5.66026568754704,42,49,61,53,39,81,88
"85",34.6218863116332,4.72376479030678,44,52,74,54,39,79,93
"86",36.0648944041145,5.27593299850993,42,55,67,62,47,91,88
"87",35.9617942246574,2.72576879848905,37,41,58,51,29,85,88
"88",36.086177235264,5.90808573994805,52,44,57,60,27,77,92
"89",31.6423195376664,3.9137468917163,43,55,66,57,38,75,91
