"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",37.8088179461126,5.41617179680621,42,49,70,55,38,82,90
"2",35.1100437578822,4.95995686131884,51,47,72,63,32,82,85
"3",39.6059794829568,3.71688293200094,33,34,64,55,31,72,87
"4",42.1815865513457,5.72091140845632,49,54,74,53,45,79,83
"5",37.0725629253032,4.15851400757787,47,45,64,46,31,80,86
"6",38.1040755309775,4.42966164316045,54,50,58,57,41,86,89
"7",33.0723871053744,4.52739101923157,44,51,59,60,42,79,87
"8",39.2158657921342,3.93850001091571,51,53,63,56,30,76,88
"9",37.134618962125,5.09998232203776,40,45,65,51,30,70,86
"10",33.8548083996364,4.21527490373498,30,41,59,70,33,79,80
"11",42.1835532713372,3.21048063977384,42,41,62,65,31,79,95
"12",33.4642007829326,3.59587715621203,47,43,52,48,31,73,82
"13",38.9596201332907,5.80011082755352,44,42,62,51,29,78,84
"14",35.8943005248891,5.31683563522278,44,53,70,51,34,71,87
"15",35.2013360693657,3.8388193594504,42,55,62,53,39,78,93
"16",37.1638154963721,5.42144740415529,52,50,62,62,38,77,91
"17",42.1230322763481,4.4183092761739,47,50,69,61,37,81,94
"18",33.7168810732651,5.76518983145939,42,42,66,57,38,85,86
"19",36.1321545265108,4.48763392263446,51,39,68,55,38,82,93
"20",43.6222388824114,4.73166203829835,55,50,76,59,31,76,90
"21",38.5562470195048,4.41391293545669,50,47,73,60,31,79,91
"22",32.7852461924791,6.18974354378781,45,45,56,50,30,64,86
"23",43.0445934404773,4.33507942922426,49,44,71,63,36,75,88
"24",33.4355249889248,5.01667896079218,37,45,66,55,38,78,89
"25",37.5711424227644,4.89279838823996,42,46,59,52,43,76,85
"26",33.4907922698363,4.36081858555336,37,40,57,58,28,75,91
"27",36.8857553216669,6.5363996579876,45,53,59,57,39,75,87
"28",44.0626127829308,6.31478252374211,45,55,68,65,29,78,90
"29",41.1802787781195,5.3438709231174,56,43,54,64,38,76,85
"30",35.3190029236655,5.81691783217013,48,54,69,58,33,76,87
"31",34.9856218492877,6.09532868138479,41,47,67,55,36,76,86
"32",38.4773156641928,6.11875308890822,51,45,54,59,36,71,89
"33",33.4618284514718,3.46680319670219,40,45,62,49,39,79,89
"34",33.8238476442652,5.4773652894691,40,46,59,57,35,67,87
"35",40.4137078390004,6.04649146291566,49,43,72,63,30,76,84
"36",36.5192041452971,6.0312200722582,55,48,61,57,41,81,90
"37",38.8914793799498,6.35667859199234,41,47,67,60,37,76,93
"38",41.8508791071836,6.07786297002482,43,46,75,62,25,75,89
"39",36.4195005144437,4.35630913413605,38,52,64,60,40,89,91
"40",32.1766244723779,6.05811727370356,32,32,64,53,28,71,84
"41",34.3445076168941,6.31761510140751,41,40,59,48,35,69,85
"42",35.7029971031222,4.98628194662583,40,44,57,58,33,82,86
"43",35.7351284218179,4.46619722344644,56,48,61,57,33,73,85
"44",36.4885178104144,4.38445803749018,31,38,71,49,41,87,85
"45",37.737432811679,5.70158380751259,50,48,64,59,46,82,95
"46",34.7627566454489,4.30930924135032,39,45,52,55,38,75,84
"47",36.1781676002188,3.975861649066,48,52,70,62,32,77,91
"48",42.4737368219638,5.03736569733243,51,53,73,57,40,78,86
"49",37.0427012195548,5.12251497299211,45,59,64,49,33,73,88
"50",37.5641282303575,4.24844889106461,49,49,69,48,38,78,86
"51",36.8375989291788,4.89798980241212,45,41,64,55,29,80,90
"52",38.3848350107675,4.55420643639671,42,43,61,50,33,79,92
"53",35.2096891138248,5.38133193408814,42,41,57,53,26,72,88
"54",40.7897747079042,5.22796814796991,41,54,66,57,32,70,90
"55",33.5640128880026,5.72973256525683,47,41,69,55,37,73,92
"56",40.2538706678047,7.06050782734294,48,50,69,56,29,75,80
"57",32.4130140589347,3.58510157577617,31,40,58,56,31,85,94
"58",32.2787743514654,4.31650462399514,42,40,65,45,38,80,87
"59",36.6577221086652,5.56393334259651,51,48,69,51,32,71,88
"60",37.333627539554,4.79820656966714,38,44,64,61,25,82,89
"61",37.6424128612339,3.34119775799442,38,40,71,49,41,85,89
"62",38.661327475125,4.78092968428791,49,46,65,55,39,75,85
"63",33.8214414441547,5.93774119189765,42,50,56,53,33,75,90
"64",32.1698520212457,5.58783730311569,42,42,65,56,33,71,93
"65",35.9855468120962,4.91008361956955,41,46,55,54,39,81,85
"66",37.6148132602787,1.96025954254212,47,51,59,49,53,83,90
"67",36.3269648821864,4.44176028746296,41,50,61,56,32,85,90
"68",34.2711708879435,3.67080812698244,51,51,65,64,36,85,92
"69",34.5756703472559,5.93626112567267,47,44,71,57,33,81,91
"70",38.6592505424266,4.93964888874781,43,44,68,64,43,78,88
"71",35.8324662021905,7.10345686817915,46,50,61,59,36,82,88
"72",35.6582630842168,4.29949410945848,37,42,60,56,32,76,91
"73",36.936583464493,4.03509770145726,41,52,67,59,35,73,88
"74",35.2017476346258,5.23643236563336,45,48,63,55,34,86,86
"75",36.0674014313378,6.05789575207286,45,49,72,59,29,79,86
"76",34.9551025933434,4.26417641366727,50,51,58,57,35,70,90
"77",36.3938328294616,5.86236818317305,52,54,73,55,43,81,89
"78",40.3504009877218,4.51812151675165,43,44,69,64,33,75,91
"79",39.4779976380122,6.17902110337291,45,42,66,57,32,77,87
"80",40.7527569394388,4.78950741497534,40,48,65,61,24,78,84
"81",44.8242942849421,4.95922819367923,54,57,58,51,47,81,85
"82",36.8468801164135,3.46269121949671,42,48,63,59,35,75,90
"83",43.6815825830132,3.71649996387065,46,47,65,50,38,81,90
"84",36.9583836285535,5.06364929523822,41,41,56,54,31,81,89
"85",32.3578009097171,4.11099057118383,38,48,67,61,42,78,93
"86",32.860332672529,4.98254329889437,52,56,61,54,33,72,87
"87",41.4396122225147,6.90299516443883,50,40,61,53,34,76,81
"88",36.2352341669834,2.79323737659366,44,49,67,54,42,79,88
"89",36.0211588595622,5.30175556317366,47,47,67,49,26,78,93
