"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",34.3092563601251,4.68188015749344,46,54,66,58,30,79,92
"2",37.5545475539402,4.68450974539988,41,44,67,58,23,70,94
"3",41.7635359936265,5.8843223235179,54,49,59,57,40,79,90
"4",33.6088729772611,3.11457869432312,46,47,55,47,33,84,92
"5",36.759244730347,5.73217932822813,44,45,65,60,30,80,88
"6",37.3972608531433,5.79054466395619,49,50,68,59,36,80,85
"7",39.1238641878152,5.19485316390164,47,48,72,65,40,73,89
"8",36.2809059274845,5.92117799273055,54,52,61,55,37,85,88
"9",42.9534218099588,6.24145620752342,56,47,68,62,38,81,89
"10",36.583638963641,4.31882919788796,43,45,68,62,37,79,84
"11",38.2529522523777,5.51533046369857,44,53,62,63,34,79,86
"12",39.945258332391,4.5317889149389,46,47,54,51,31,73,92
"13",35.8219139334886,4.49794267796527,43,51,66,57,46,86,95
"14",33.8809930691533,3.02600812535776,46,43,66,48,33,80,91
"15",42.3466868809257,4.43055410555902,52,50,70,57,40,87,86
"16",30.0667927461845,5.47533055287626,35,48,55,49,35,84,90
"17",39.6358137427638,6.21721768877771,44,48,61,59,33,84,88
"18",37.1074201540457,5.11768956789273,53,46,60,53,31,69,87
"19",40.0384860763812,5.08836671441331,48,54,76,58,40,79,86
"20",38.2967954636188,4.79938291948411,40,49,69,53,39,79,88
"21",43.2724576157474,4.50141644332503,50,54,74,58,34,73,92
"22",33.4002225410684,6.08966753937734,45,41,63,57,23,74,88
"23",41.7689146008702,5.92163077876187,54,48,67,47,33,79,85
"24",42.8639549266698,5.36455355777858,44,45,72,58,35,76,87
"25",37.0148133304844,5.29514815471387,40,50,57,54,41,76,92
"26",29.6448808364616,5.5299484181423,37,36,49,55,29,82,91
"27",38.4317119078408,5.96878980255762,50,45,61,56,34,81,90
"28",35.2103254941058,6.90860573678394,45,51,64,54,31,66,86
"29",39.3766098108989,6.50279344771951,45,47,67,53,40,77,92
"30",37.868910130532,4.68817205598771,36,46,63,58,35,69,92
"31",39.2168158112864,5.94801868616014,53,58,65,58,39,85,85
"32",37.9568812032929,4.91232723782019,47,51,49,53,34,72,93
"33",40.228493061436,4.80627368793607,46,48,59,52,44,77,92
"34",36.1475268385353,5.72924072973125,37,41,54,45,38,77,87
"35",34.6699741780607,6.02840485781331,48,41,62,55,35,79,89
"36",35.2130185039247,4.69280966174164,40,54,65,58,38,76,96
"37",31.8220606625619,5.76574159441989,43,49,60,52,37,74,93
"38",34.2922465607089,4.97854926659495,47,35,68,47,27,81,84
"39",35.3228142552986,6.4925278854265,46,52,63,57,35,81,83
"40",36.2604622979995,5.44767807270613,42,40,65,53,28,76,80
"41",35.8492413147057,5.17497682962076,44,51,53,58,32,73,84
"42",31.1226904744986,5.38724121934607,37,47,63,59,33,74,85
"43",34.4748848195932,3.71110555675648,50,44,66,59,34,72,84
"44",42.7106424020429,5.23150683330681,47,52,68,59,30,70,84
"45",38.8674817903622,5.72014685197324,54,45,66,53,40,88,92
"46",42.9727613067409,4.74856807784748,48,51,69,61,38,84,87
"47",36.0835488254756,4.6810041163731,45,56,76,54,34,74,88
"48",36.7274672943977,5.98344342486008,51,48,68,60,31,76,93
"49",36.4475156453462,5.82824095598368,46,54,72,49,36,78,88
"50",33.4036967040778,5.38279386701614,45,43,69,50,32,77,89
"51",34.4851385571939,6.45565975999446,47,48,63,50,34,82,87
"52",43.1989040671937,5.66646050945938,44,48,62,58,30,80,88
"53",35.3132588399725,4.62999274546439,34,39,55,55,28,79,88
"54",40.8271465355528,6.54825123967521,47,44,61,58,29,79,85
"55",33.8572821190151,7.32926401941101,35,43,64,53,24,77,88
"56",31.102365275658,6.39942457142398,49,50,68,56,42,82,90
"57",36.0310867187201,4.05875417951947,47,48,61,60,30,75,91
"58",39.8075875804259,5.83330084789711,43,48,71,56,34,74,86
"59",40.4176894082022,5.73488659250457,53,57,74,56,35,88,90
"60",42.014856301978,5.1232181713378,46,37,66,64,23,74,90
"61",31.6352733797054,6.55536357774361,38,51,69,58,37,74,88
"62",43.0937275562657,6.42325808493152,47,53,72,54,48,89,89
"63",34.8905670010183,4.64124283723042,39,37,54,52,35,81,88
"64",37.4744942876804,4.50225677796958,44,52,61,53,40,76,90
"65",38.5187043924422,3.11501196423256,43,48,62,56,41,77,86
"66",34.5400146831514,3.86037371614405,39,49,66,63,39,91,87
"67",31.0034590151076,4.54327098211419,49,51,62,59,32,80,87
"68",35.5621222256451,6.17333357441249,48,53,64,62,45,81,92
"69",37.2525397129667,4.67981269655393,48,39,68,49,30,77,86
"70",34.3135401680101,5.04167325847677,43,45,62,47,39,72,88
"71",34.2361730034768,4.82301682253804,40,46,58,56,33,65,88
"72",37.9913485103959,7.28473761681314,39,41,61,58,35,79,87
