"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"32",37.9568812032929,4.91232723782019,70,60,65,55,42,72,87
"33",40.228493061436,4.80627368793607,70,49,63,59,42,82,90
"34",36.1475268385353,5.72924072973125,70,56,67,58,37,74,90
"35",34.6699741780607,6.02840485781331,70,58,63,56,33,73,87
"36",35.2130185039247,4.69280966174164,70,49,64,59,36,77,89
"37",31.8220606625619,5.76574159441989,70,64,66,50,49,81,90
"38",34.2922465607089,4.97854926659495,70,56,64,59,37,81,88
"39",35.3228142552986,6.4925278854265,70,58,74,58,39,79,93
"40",36.2604622979995,5.44767807270613,70,65,70,61,45,78,89
"41",35.8492413147057,5.17497682962076,70,61,60,61,42,82,91
"42",31.1226904744986,5.38724121934607,70,60,62,59,38,86,88
"43",34.4748848195932,3.71110555675648,70,61,65,59,46,85,87
"44",42.7106424020429,5.23150683330681,70,56,69,51,50,89,90
"45",38.8674817903622,5.72014685197324,70,63,71,62,42,85,88
"46",42.9727613067409,4.74856807784748,70,57,72,66,40,81,91
"47",36.0835488254756,4.6810041163731,70,60,63,52,51,86,89
"48",36.7274672943977,5.98344342486008,70,68,69,62,31,78,94
"49",36.4475156453462,5.82824095598368,70,56,67,68,40,78,93
"50",33.4036967040778,5.38279386701614,70,64,68,64,42,79,91
"51",34.4851385571939,6.45565975999446,70,66,73,52,47,91,86
"52",43.1989040671937,5.66646050945938,70,49,73,57,39,72,87
"53",35.3132588399725,4.62999274546439,70,51,65,52,39,81,90
"54",40.8271465355528,6.54825123967521,70,59,70,53,48,82,90
"55",33.8572821190151,7.32926401941101,70,61,70,64,37,72,82
"56",31.102365275658,6.39942457142398,70,54,66,61,40,80,88
"57",36.0310867187201,4.05875417951947,70,56,72,66,35,83,90
"58",39.8075875804259,5.83330084789711,70,53,66,62,37,80,90
"59",40.4176894082022,5.73488659250457,70,54,67,52,44,76,88
"60",42.014856301978,5.1232181713378,70,56,65,58,38,85,91
"61",31.6352733797054,6.55536357774361,70,53,65,49,45,76,92
"62",43.0937275562657,6.42325808493152,70,62,67,68,44,76,86
"63",34.8905670010183,4.64124283723042,70,58,63,48,39,76,90
"64",37.4744942876804,4.50225677796958,70,56,56,53,38,80,92
"65",38.5187043924422,3.11501196423256,70,52,68,57,37,79,86
"66",34.5400146831514,3.86037371614405,70,51,70,65,34,80,90
"67",31.0034590151076,4.54327098211419,70,56,68,60,45,78,83
"68",35.5621222256451,6.17333357441249,70,62,69,57,38,87,88
"69",37.2525397129667,4.67981269655393,70,66,67,58,46,86,88
"70",34.3135401680101,5.04167325847677,70,59,71,54,52,85,86
"71",34.2361730034768,4.82301682253804,70,65,66,58,40,78,95
"72",37.9913485103959,7.28473761681314,70,55,58,59,41,83,85
"73",36.5750175731918,4.19638952233513,70,58,62,56,39,77,86
"74",38.3045432845081,6.23063389990755,70,60,74,68,35,87,87
"75",36.8388321219484,4.96555542095849,70,58,65,59,32,81,87
"76",34.2786688732195,4.33755913567517,70,66,63,55,34,64,90
"77",40.9105366972668,4.75039981935342,70,57,66,54,38,80,90
"78",39.3153693266196,7.53311407308152,70,58,70,65,51,74,89
"79",40.1575767859229,5.15811929573614,70,56,70,54,46,78,87
"80",32.7698849780089,5.75203917587843,70,63,72,54,39,83,93
