"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",34.6996118939152,5.79004563477825,41,43,61,53,44,74,86
"2",34.5506249674949,5.08712746486342,45,39,68,54,29,67,86
"3",36.5753944422318,6.87611212333979,58,44,56,59,31,85,87
"4",36.1671849105123,4.40120950339746,44,48,75,50,34,83,84
"5",38.3089206952849,3.16108584442161,41,49,64,53,35,74,90
"6",33.4393824250984,4.26749385138091,45,49,68,64,42,89,90
"7",40.5759607227506,6.82522212938004,46,47,72,44,36,81,91
"8",36.9454289713049,5.58400668601327,56,51,59,55,42,79,89
"9",36.2557462069908,2.99565985502551,43,50,65,45,40,83,86
"10",35.9111893277045,4.61926218705322,45,44,55,57,36,80,91
"11",40.8327116448025,6.56518410590029,47,47,70,65,33,81,96
"12",35.5933085590622,3.15972247072489,40,45,63,60,35,72,90
"13",37.2131623050847,3.05200625549698,35,45,69,64,42,85,87
"14",36.2018846507432,4.34041367138311,46,50,68,45,28,76,87
"15",42.5357715858291,6.43270310909071,49,47,63,53,25,84,94
"16",34.4816510276415,4.33943934587446,50,50,69,56,31,77,87
"17",36.7676558240915,6.25660713976491,44,50,70,53,37,78,90
"18",29.1468834211978,5.77575147340389,42,44,60,49,39,75,89
"19",39.6636520774483,5.69759280971575,47,38,65,63,33,85,88
"20",34.877525661107,4.54038503331556,51,52,66,58,25,74,90
"21",42.2709788209825,5.08580136948418,39,38,67,56,30,75,87
"22",37.5467564296074,6.35043931443426,42,46,59,61,37,73,91
"23",36.1993337643593,5.53541073105729,48,39,60,51,40,76,87
"24",39.7792648937427,5.11725175704846,54,56,71,47,51,75,92
"25",34.9200043684216,5.44694347549062,39,37,63,57,38,83,92
"26",45.0459702091279,6.05954253926466,50,48,70,55,26,71,90
"27",37.6675734404673,7.76252892994963,47,41,60,63,40,75,87
"28",34.8799827653221,3.86915612210175,33,47,47,53,28,64,88
"29",38.2516397373098,5.43321356389468,45,50,60,62,42,79,91
"30",38.1086703344647,5.59738728738536,46,54,67,61,41,76,92
"31",34.2587069517599,4.75428040115066,41,45,67,56,36,77,91
"32",36.0492557640594,4.95868060690633,45,50,66,60,37,78,88
"33",40.1471776159186,5.24580423014313,50,48,66,56,37,85,83
"34",37.5043354196068,4.6655207899987,46,51,64,59,34,83,87
"35",37.0943206345102,4.48693685499065,57,57,68,56,33,69,90
"36",33.969008381876,4.42623971249803,47,50,67,55,32,80,90
"37",38.1482545971475,5.33072065099222,49,50,67,59,34,81,87
"38",34.5409104233896,4.7929594974729,41,43,69,52,30,75,90
"39",38.0851332828993,5.73332450698315,44,60,53,49,38,80,86
"40",37.2801140894485,7.46818719046552,51,42,61,59,35,77,88
"41",34.5746309676026,4.78206851227998,48,51,64,61,39,71,89
"42",30.9418549168048,5.12634886076552,39,49,63,65,41,83,86
"43",34.783827782708,3.88377244906947,43,44,62,54,33,73,88
"44",38.1486596825736,4.17575793349016,54,57,72,63,42,82,95
"45",42.1925910027241,6.16044720089591,56,60,71,63,37,80,87
"46",36.3907541478259,5.7890694507801,46,45,61,53,38,83,88
"47",34.0108079574263,5.45108304278257,48,51,64,58,30,74,90
"48",33.0803911161358,5.16004560303007,37,37,61,55,27,77,90
"49",34.0065051882988,3.8599669530046,45,41,60,55,30,77,87
"50",35.3049138208508,4.68370786591146,35,30,65,54,31,73,95
